,10075310,0,69613,10075310,"0,006909266315",4382430056000,10075310,"434967,2671"
,1030720,0,8834,1030720,"0,008570707855",1757857930000,1030720,"1705466,014"
,305899,0,6375,305899,"0,02084021197",1234065935363,305899,"4034226,772"
,193329,0,3998,193329,"0,02067977386",,193329,0
,134196,0,3220,134196,"0,02399475394",518560000000,134196,"3864198,635"
228.812,2.765.487,"0,08273841099",,2.765.487,0,3.305.777.728,2.765.487,"1195,369108"
,3344421,0,,3344421,0,,3344421,0
,293704,,,293704,,,293704,
,199723,0,4829,199723,"0,0241784872",,199723,0
95696,132498,"0,7222448641",6859,132498,"0,05176681912",,132498,0
,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
23285,293282,"0,07939457587",,293282,0,167763681190,293282,"572021,7442"
,125690,0,,125690,0,603584940786,125690,"4802171,539"
,191994,0,,191994,0,,191994,0
,2470802,0,,2470802,0,,2470802,0
,1463094,0,,1463094,0,,1463094,0
,245104,0,,245104,0,,245104,0
,227200,0,,227200,0,36501239,227200,"160,6568618"
,1233695,0,,1233695,0,,1233695,0
,1.338.663,0,,1.338.663,0,817400000000,1.338.663,"610609,2422"
,"820,243",0,8639,"820,243","10,53224471",1582000000000,"820,243",1928696740
,"239,599",0,4679,"239,599","19,52846214",67948912500,"239,599","283594307,6"
,"174,114",0,937,"174,114","5,38153164",93851734100,"174,114","539024628,1"
,"111,312",0,3746,"111,312","33,6531551",63300000000,"111,312","568671841,3"
1436745,#REF!,#REF!,7546,#REF!,#REF!,#REF!,#REF!,#REF!
67863,#REF!,#REF!,3456,#REF!,#REF!,#REF!,#REF!,#REF!
34535,#REF!,#REF!,3732,#REF!,#REF!,"570926180,3",#REF!,#REF!
29457,#REF!,#REF!,3228,#REF!,#REF!,#REF!,#REF!,#REF!
34534,#REF!,#REF!,422,#REF!,#REF!,#REF!,#REF!,#REF!
,#REF!,#REF!,6125,#REF!,#REF!,2501896455087,#REF!,#REF!
,579.015,0,5.681,579.015,"0,009811490203",,579.015,0
,30473,0,,30473,0,,30473,0
,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!
,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,#REF!,#REF!,1251,#REF!,#REF!,,#REF!,#REF!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,,,,,,"0,00","631,00"
,"6.938,00","384.112,00","0,02","962.221.152,00","384.112,00","2.505,05","2.505,07","255,00"
,,,,,,,"0,00",
,"4.114,00","187.455,00",,,"187.455,00",,"0,00",
,,,,,,,"0,00",
,249299,0,6077,249299,"0,02437635129",1134104242954,249299,"4549172,852"
,275694,0,4911,275694,"0,01781322771",132931892554,275694,"482171,8737"
,1011467,0,25193,1011467,"0,02490738699",2359925770776,,#DIV/0!
,86166,0,,86166,0,,86166,0
#REF!,,,#DIV/0!,,,#DIV/0!,,
7.360,863.600,"0,01",644.117.977.749,863.600,"745.852,22",#REF!,351,156.860
2.932,441.064,"0,01",160.495.000.000,441.064,"363.881,43",#REF!,,
,202.196,"0,00",,202.196,"0,00",#REF!,,
5.027,164.903,"0,03",,164.903,"0,00",#REF!,,
2.348,167.220,"0,01",26.677.826.163,167.220,"159.537,29",#REF!,115,26.581
,589.097,0,6749,589.097,"0,01145651735",1329956797030,589.097,"2257619,368"
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,405303,0,5843,405303,"0,01441637491",1304400904200,405303,"3218335,182"
,65.882,0,2.151,405303,"0,005307140584",396585115323,65.882,"6019627,748"
,889 646,,,889 646,,,889 646,
,395423,,,395423,,,395423,
,206 496,,,206 496,,,206 496,
,181193,,6476,181193,,727619868812,181193,
,73708,,2394,73708,,486180048639,73708,
,,#DIV/0!,900,#REF!,#REF!,,#REF!,#REF!
,#REF!,#REF!,472,#REF!,#REF!,112395774498,#REF!,#REF!
,,#DIV/0!,3928,202204,"0,01942592629",,202204,0
,136903,0,4649,136903,"0,03395835007",112395774498,136903,"820988,3969"
2443,64819,"0,03768956633",2843,64819,"0,04386059643","489525802,3",64819,"7552,196151"
,423257,0,,423257,0,1330515594943,423257,"3143517,047"
,362202,0,7960,362202,"0,02197668704",1171610175,362202,"3234,687205"
,227500,0,4450,227500,"0,01956043956",846773041407,227500,"3722079,303"
,76488,0,,76488,0,,76488,0
,59608,0,2637,59608,"0,04423902832",,59608,0
,3666553,0,57292,3666553,"0,0156255753",93449857,3666553,"25,48711474"
,335889,0,7750,335889,"0,02307309855",13354996,335889,"39,76014695"
,216270,0,,216270,0,4205233,216270,"19,44436584"
,,#DIV/0!,3263,164675,"0,0198147867",5413217,164675,"32,87212388"
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,1030528,0,,1030528,0,,1030528,0
,315001,0,,315001,0,,315001,0
#REF!,,315001,0,#REF!,,315001,0,
,163651,0,3054,163651,"0,01866166415",,163651,0
29865,33215,"0,8991419539","6,892",33215,"0,000207496613",700,33215,"0,0210748156"