17523967,10075310,"1,739298046",111630305,10075310,"11,07959011",3703,17523967,"0,0002113106011"
2106764,1030720,"2,043973145",15253945,1030720,"14,79931019",174,2106764,"0,00008259112079"
177198,305899,"0,5792696282",1471367,305899,"4,809976496",,177198,0
10102,193329,"0,05225289532",71060,193329,"0,3675599626",459,10102,"0,04543654722"
2380,134196,"0,01773525291",,134196,0,118,2380,"0,04957983193"
99.426,2.765.487,"0,03595243803",33.231.163,2.765.487,"12,01638735",,,#DIV/0!
,3344421,0,,3344421,0,,,#DIV/0!
170900,293704,,,293704,,,,
55403,199723,"0,2773991979",,199723,0,,,#DIV/0!
,132498,0,,132498,0,,,#DIV/0!
,#REF!,#REF!,5348170,#REF!,#REF!,1326,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
720,293282,"0,002454975075",,293282,0,566,720,"0,7861111111"
3149,125690,"0,02505370356",,125690,0,132,3149,"0,04191806923"
,191994,0,,191994,0,,,#DIV/0!
,2470802,0,,2470802,0,,,#DIV/0!
,1463094,0,,1463094,0,,,#DIV/0!
,245104,0,,245104,0,,,#DIV/0!
,227200,0,,227200,0,,,#DIV/0!
,1233695,0,,1233695,0,,,#DIV/0!
,1.338.663,0,,1.338.663,0,,,#DIV/0!
547615,"820,243","667,6253257",512072,"820,243","624,2930449",,547615,0
,"239,599",0,523377,"239,599","2184,387247",,,#DIV/0!
113456,"174,114","651,6190542",,"174,114",0,467,113456,"0,004116133126"
,"111,312",0,,"111,312",0,,,#DIV/0!
19776,#REF!,#REF!,1164852,#REF!,#REF!,32452,19776,"1,640978964"
7865,#REF!,#REF!,945463,#REF!,#REF!,34556,7865,"4,393642721"
7401,#REF!,#REF!,345564,#REF!,#REF!,2314,7401,"0,3126604513"
3068,#REF!,#REF!,129105,#REF!,#REF!,175,3068,"0,05704041721"
345,#REF!,#REF!,3647,#REF!,#REF!,343,345,"0,9942028986"
507104,#REF!,#REF!,,#REF!,#REF!,,507104,0
9.121,579.015,"0,01575261435",,579.015,0,,,#DIV/0!
,30473,0,,30473,0,,,#DIV/0!
,#REF!,#REF!,,#REF!,#REF!,,,#DIV/0!
,#REF!,#REF!,,#REF!,#REF!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,#REF!,#REF!,362,#REF!,#REF!,1013,134000,"0,007559701493"
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,,,,,,,"0,00",
#REF!,"1.671.883,00","384.112,00","4,35","290,00","142.561,00","0,00",#REF!,
,,,,,,,"0,00",
,,"187.455,00",,,,,"0,00",
,,,,,,,"0,00",
211321,249299,"0,847660841",259774,249299,"1,042017818",162,211321,"0,000766606253"
136579,275694,"0,4954006979",132691,275694,"0,4812981059",74,136579,"0,0005418109665"
81543,1011467,"0,08061854712",,1011467,0,,81543,0
,86166,0,,86166,0,,,#DIV/0!
#REF!,,,#DIV/0!,,,#DIV/0!,,
507.497,863.600,"0,59",108,#REF!,#REF!,#REF!,,863.600
,441.064,"0,00",231,#REF!,#REF!,#REF!,,441.064
,202.196,"0,00",,#REF!,#REF!,#REF!,,202.196
,164.903,"0,00",114,#REF!,#REF!,#REF!,136.792,164.903
,167.220,"0,00",127,#REF!,#REF!,#REF!,,167.220
39668,589.097,"0,06733695809",158618,589.097,"0,2692561666",306,39668,"0,007714026419"
,,#DIV/0!,,,#DIV/0!,,,
,,#DIV/0!,,,#DIV/0!,,,
251229,405303,"0,6198547753",1999839,405303,"4,934182575",141,251229,"0,0005612409395"
1967,65.882,"0,02985640995",10754,65.882,"0,1632312316",,,
,889 646,,,889 646,,,,
,395423,,,395423,,,,
,206 496,,,206 496,,,,
8514,181193,,,181193,,152,8514,
1658,73708,,,73708,,,1658,
,#REF!,#REF!,,#REF!,#REF!,,,#DIV/0!
,#REF!,#REF!,210292,#REF!,#REF!,,,#DIV/0!
,202204,0,,202204,0,,,#DIV/0!
,136903,0,614098,136903,"4,48564312",,,#DIV/0!
22021,64819,"0,3397306345",,64819,0,86,22021,"0,003905363063"
16089,423257,"0,03801236601",583688,423257,"1,379039213",736,16089,"0,04574554043"
3822,362202,"0,01055212285",1010305,362202,"2,789341307",387,3822,"0,101255887"
123380,227500,"0,5423296703",3636444,227500,"15,98436923",,123380,0
,76488,0,,76488,0,,,#DIV/0!
,59608,0,,59608,0,34,,#DIV/0!
2095005,3666553,"0,5713827129",8610114,3666553,"2,348285706",5789,2095005,"0,002763239229"
,335889,0,,335889,0,,,#DIV/0!
3839,216270,"0,01775095945",87551,216270,"0,4048226754",85,3839,"0,0221411826"
544,164675,"0,003303476545",194475,164675,"1,180962502",58,,#DIV/0!
,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
,1030528,0,,1030528,0,,,#DIV/0!
,315001,0,,315001,0,,,#DIV/0!
,#REF!,,315001,0,,315001,0,
74403,163651,"0,4546443346",,163651,0,60,74403,"0,000806419096"
2800,33215,"0,08429926238",12890,33215,"0,3880776757",3500,65800,"0,05319148936"